Mass,Radius,Surface Gravity,Surface Temp,Stellar Temp,Stellar Flux,Metallicity [Fe/H],Semi-major Axis,Eccentricity,Rotation Period,Distance,Transit Duration,ESI,Habitability
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.112708992244272
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.463774466031832
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.0545590065834455
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.140182072843971
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.966704151374323
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.856438942020622
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.889370678462137
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.775571431220961
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.35406256450812
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.774145294012161
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.299754645329716
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.209005998940666
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.363633791306427
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.225273120432744
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.0349461041831567
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.0864987955965949
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.567788946502484
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.967080522236257
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.831971804292364
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.848382831237739
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.00490397688321664
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.194416562106679
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.263975458129677
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.915880323549348
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.232577784561571
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.493826834183058
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.733654635985662
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.506037936145307
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.265735528592407
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.343590137726187
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.799510796014584
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.467516776666526
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.667018271256767
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.0163554994655055
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.294181286677129
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.531603392745215
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.250383185699977
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.413140990792321
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.399197984551173
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.640454814293724
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.416688919283332
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.949571677055528
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.601109434918319
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.963903295535128
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.898290980246391
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.973279988973031
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.407857121039634
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.0607551108433093
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.992520133753402
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.219183752728875
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.790584540896148
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.00406607462385322
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.791815891550352
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.664926988086585
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.942151815823315
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.236121938764228
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.624766740415592
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.298103641182912
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.028050276173742
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.852273355050279
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.317881493401952
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.0997273120422368
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.617643773371305
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.76879554085048
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.451751099668379
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.719393303590029
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.790686526954372
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.522991301554737
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.776028804645103
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.65004922538479
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.745399629542006
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.798295427669413
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.978208409649652
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.293571063154602
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.696527227140169
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.438309696338197
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.613029624807705
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.25369312826593
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.842637899177614
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.165320931072593
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.222517077588291
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.353997492212201
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.707128180218562
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.475563519516694
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.371670267798331
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.395875942048671
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.320089309451228
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.44419386328397
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.312144735261434
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.0607060522058562
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.17728561156319
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.720425397569293
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.273146682041482
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.618032760379345
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.796168209425089
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.570483226658552
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.131059713568338
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.874321335114264
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.392687433533321
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.355994282657731
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.00309804399381553
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.277718451589446
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.813017694498159
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.566128090395837
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.664154722980635
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.235733321327171
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.636188992272247
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.181438262837892
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.882653838424709
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.220609548982724
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.085715117442389
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.817633790988431
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.824855363856437
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.968503911292409
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.047633610531757
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.394360081943138
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.586708860181203
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.576160045004514
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.629836777732008
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.542308913712766
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.393230623825606
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.90213655793931
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.638872386896478
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.180719507344266
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.274654805034723
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.0955483345139029
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.687708891742646
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.216992879724711
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.999172749314128
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.0552958266356897
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.807798790955645
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.967357781522259
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.214270950092198
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.488105769184537
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.00670430209130901
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.506996510865558
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.947728527749409
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.838495513023784
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.622514772960447
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.118182433360374
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.167301711229572
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.599532162023787
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.109483860055004
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.613696617166357
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.457529122173474
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.574534800511914
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.15862970900048
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.863519768992314
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.1686979333684
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.754291838158089
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.687294146519488
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.0167691676159667
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.364252670642528
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.0813469920736325
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.719455004284697
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.380165103389529
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.612816548069611
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.657539121797406
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.454386084194216
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.693064013596004
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.041728935068598
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.0565513809101689
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.496414311452147
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.243034882247269
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.13027301088449
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.458248875376491
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.779805677357118
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.0410741904844065
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.77111213029963
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.339783536559327
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.245172985221019
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.664318508834882
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.517057676692658
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.275430374299494
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.126232960274072
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.271225254718049
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.168565086416657
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.683298966548681
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.055271065930231
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.678892984091061
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.349589272028682
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.101758733146271
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.822163156133218
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.556095222301596
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.10383584547127
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.639955051594359
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.799551475601625
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.12189609207275
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.0238955761421847
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.586018739172799
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.0326195057577
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.776136336739138
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.219092549324679
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.720801495252933
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.0928725773623703
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.922084557710978
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.127972939451781
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.32622956867585
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.0929980183999515
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.374668655939774
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.5557667907043
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.466291399807193
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.891653074567888
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.776229947460613
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.0554518289364377
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.248507148394385
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.900417599680806
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.83853810479066
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.295551475522885
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.809731272660973
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.207436325429679
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.307279278822937
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.765732837300744
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.946946372328768
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.596247971158642
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.962990198536301
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.682950004421734
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.0697906640657607
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.144113916558528
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.951497231159515
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.464553972247336
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.223787003213608
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.386300158667496
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.740349697019608
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.523202438010398
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.369884767148708
